id,lot_frontage,lot_area,overall_qual,year_built,exter_qual,bsmt_qual,bsmt_exposure,total_bsmt_sf,heating_qc,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_area,saleprice,neighborhood_stonebr,neighborhood_nridght,neighborhood_noridge,bsmt_fin_glq,garage_builtin,garage_attchd,foundation_pconc,house_1story,house_2story,masvnr_stone,masvnr_brkface
807,120.0,26400,5,1880,4,0,0,0.0,5,2016,1,3,7,1,576.0,131000,0,0,0,0,0,1,1,0,1,0,0
1177,24.0,2645,8,1999,4,4,1,960.0,5,1607,2,4,7,0,480.0,200000,0,0,0,1,0,0,1,0,1,0,1
1480,74.0,9627,7,2007,4,4,3,1351.0,5,1361,2,4,6,0,610.0,193000,0,0,0,1,0,1,1,1,0,0,0
324,93.0,10114,5,2004,3,5,3,1430.0,5,1430,2,4,7,0,624.0,173500,0,0,0,0,0,1,1,1,0,0,0
1311,34.0,4571,5,1916,3,3,1,624.0,2,1344,1,3,7,0,513.0,98000,0,0,0,0,0,0,0,0,1,0,0
770,80.0,8816,5,1963,3,3,1,1121.0,3,1121,1,3,5,0,480.0,139000,0,0,0,0,0,0,1,1,0,0,0
2063,71.0,8197,6,1977,3,3,1,660.0,5,1285,1,3,7,1,528.0,143500,0,0,0,0,0,1,0,1,0,0,1
69,72.0,8640,7,2009,3,4,2,756.0,5,1547,2,4,7,0,614.0,215200,0,0,0,1,0,1,1,0,1,0,0
2062,109.0,8724,5,1968,3,4,1,894.0,4,894,1,3,5,1,450.0,129000,0,0,0,0,0,1,0,1,0,0,0
351,40.0,5664,8,2000,4,4,1,1501.0,5,1659,2,5,5,1,499.0,278000,1,0,0,1,0,1,1,1,0,0,0
2393,103.0,12867,8,2005,4,5,3,1209.0,5,2253,2,5,8,1,575.0,344133,0,1,0,0,0,1,1,0,1,0,0
12,69.05520046484602,7980,6,1992,3,4,1,1168.0,5,1187,2,3,6,0,420.0,185000,0,0,0,0,0,1,1,1,0,0,0
2339,100.0,34650,5,1955,3,3,2,1056.0,3,1056,1,3,5,0,572.0,145000,0,0,0,0,0,1,0,1,0,0,0
624,92.0,10573,6,1961,3,3,1,1453.0,5,1453,2,3,6,1,530.0,187500,0,0,0,0,0,1,0,1,0,0,1
86,65.0,8450,5,1965,3,3,1,894.0,5,894,1,3,5,1,336.0,138500,0,0,0,1,0,0,0,1,0,0,0
1534,69.05520046484602,11700,5,1937,3,3,1,942.0,5,1938,2,4,7,1,240.0,198000,0,0,0,0,0,0,0,0,0,0,0
2243,75.0,8250,5,1895,3,3,1,957.0,2,1991,2,3,9,0,0.0,119600,0,0,0,0,0,0,0,0,1,0,0
1957,60.0,8064,5,1949,3,3,2,672.0,5,924,1,3,6,1,576.0,122900,0,0,0,0,0,0,0,0,0,0,0
380,80.0,9600,8,1981,4,4,1,2524.0,3,2524,2,4,9,1,542.0,278000,0,0,0,0,0,1,1,1,0,0,0
2860,69.05520046484602,11435,8,1929,3,4,1,792.0,2,1517,1,4,7,2,400.0,230000,0,0,0,0,0,0,1,0,1,0,0
2517,30.0,9549,8,1995,4,4,3,1494.0,5,1494,1,5,6,1,481.0,270000,0,0,0,0,0,1,1,1,0,0,0
1933,60.0,10950,6,1952,3,3,1,948.0,3,948,1,3,5,0,410.0,125000,0,0,0,0,0,0,0,1,0,0,0
820,79.0,10637,8,2007,4,5,4,1705.0,5,1718,2,4,7,1,826.0,297000,0,0,0,1,0,1,1,1,0,1,0
675,80.0,9000,6,1958,3,4,4,160.0,2,1142,1,3,5,1,384.0,113500,0,0,0,0,0,0,0,1,0,0,1
2910,41.0,2665,5,1977,3,3,1,757.0,5,1475,2,3,6,1,336.0,127000,0,0,0,0,0,1,1,0,1,0,0
21,105.0,11751,6,1977,3,4,1,1844.0,5,1844,2,3,7,1,546.0,190000,0,0,0,0,0,1,0,1,0,0,1
1873,80.0,9600,7,1973,3,3,1,1242.0,2,1242,1,3,6,1,528.0,175500,0,0,0,0,0,1,0,1,0,0,1
2125,60.0,8428,5,1994,3,4,1,990.0,5,990,1,3,5,0,384.0,146000,0,0,0,1,0,0,1,1,0,0,0
1489,75.0,9937,5,1965,4,3,1,1256.0,4,1256,1,3,6,0,276.0,147500,0,0,0,0,0,1,0,1,0,0,0
2383,107.0,13891,10,2006,5,5,4,2076.0,5,2076,2,5,7,1,850.0,465000,0,1,0,1,0,1,1,1,0,0,0
983,69.05520046484602,9101,5,1978,3,4,3,1097.0,5,1110,1,4,4,1,602.0,165500,0,0,0,1,0,1,1,0,0,0,1
1325,81.0,12150,5,1954,3,3,1,1050.0,5,1795,2,3,7,0,352.0,131500,0,0,0,0,0,1,0,0,0,0,1
1378,70.0,11200,5,1965,3,3,1,1040.0,5,1040,1,3,5,0,384.0,129500,0,0,0,0,0,0,0,1,0,0,0
1537,100.0,9670,8,1935,3,3,1,608.0,3,1873,1,3,9,2,786.0,257076,0,0,0,0,0,0,1,0,1,1,0
905,60.0,10998,5,1941,3,3,1,984.0,5,1604,2,3,6,0,660.0,117000,0,0,0,0,0,0,0,0,0,0,0
1532,60.0,7200,7,1931,3,4,1,776.0,3,1502,1,3,6,1,270.0,149000,0,0,0,0,0,1,0,0,1,0,0
132,80.0,9920,5,1954,3,3,1,1056.0,3,1063,1,3,6,0,280.0,128000,0,0,0,0,0,1,0,1,0,1,0
1078,36.0,2448,7,2003,4,4,1,764.0,5,1626,2,4,6,0,474.0,155000,0,1,0,0,1,0,1,0,1,1,0
2511,69.05520046484602,2998,6,2000,4,4,1,756.0,5,1524,2,4,4,0,440.0,166000,0,0,0,1,0,0,1,0,1,0,1
912,65.0,7804,4,1928,3,3,1,1122.0,3,1981,2,4,7,2,576.0,135000,0,0,0,0,0,0,0,0,0,0,0
2351,80.0,16692,7,1978,3,4,1,1392.0,3,2784,3,4,12,2,564.0,250000,0,0,0,0,0,1,0,0,1,0,1
330,21.0,1476,4,1970,3,3,1,546.0,5,1092,1,3,5,0,0.0,76000,0,0,0,1,0,0,0,0,1,0,0
2586,75.0,10170,6,1951,3,3,1,216.0,3,1575,1,4,5,1,400.0,155000,0,0,0,0,0,1,0,1,0,0,1
224,80.0,9364,6,1969,3,3,1,663.0,3,1352,1,3,7,0,299.0,158000,0,0,0,0,0,1,0,0,1,1,0
98,24.0,2544,7,2004,4,4,1,600.0,5,1200,2,4,4,0,480.0,149500,0,0,0,1,0,0,1,0,1,0,0
2565,82.0,9888,5,1954,3,3,1,936.0,3,936,1,3,5,0,240.0,121000,0,0,0,0,0,1,0,1,0,0,0
1934,68.0,7942,6,1953,3,3,1,1040.0,3,1040,1,3,6,0,293.0,136000,0,0,0,0,0,1,0,1,0,0,0
997,69.05520046484602,15038,6,1996,3,4,1,916.0,4,1636,2,3,7,1,386.0,173000,0,0,0,0,0,1,1,0,1,0,0
64,92.0,11764,8,1999,4,4,1,1152.0,5,2270,2,4,9,1,671.0,290000,0,0,1,1,0,1,1,0,1,0,1
1799,75.0,9000,8,2007,4,4,3,1184.0,5,2610,2,5,11,1,550.0,303477,0,0,0,1,1,0,1,0,1,0,0
230,69.05520046484602,20062,7,1977,4,4,4,1420.0,4,1483,1,3,4,2,690.0,270000,0,0,0,0,0,1,0,1,0,0,0
1295,81.0,7308,5,1920,2,3,1,936.0,4,1740,1,5,6,1,225.0,122250,0,0,0,0,0,0,0,0,0,0,0
638,70.0,8750,5,1955,3,3,1,1382.0,4,1382,1,4,6,0,350.0,153000,0,0,0,0,0,1,0,1,0,0,0
2278,70.0,8402,5,2007,3,4,1,1120.0,5,1120,1,3,6,0,0.0,147000,0,0,0,0,0,0,1,1,0,0,0
2202,63.0,4000,7,1930,3,4,1,531.0,3,1098,1,3,5,1,216.0,148500,0,0,0,1,0,0,0,0,1,0,0
2833,32.0,3363,7,2004,4,4,1,976.0,5,1708,2,4,7,0,380.0,130000,0,0,0,0,0,0,1,0,1,1,0
1707,94.0,13615,9,2006,5,5,4,1802.0,5,1802,2,5,7,1,843.0,372000,0,1,0,0,0,1,1,1,0,1,0
2428,43.0,3013,7,2005,4,4,4,1362.0,5,1506,2,4,6,1,440.0,213490,0,0,0,1,0,1,1,1,0,0,1
242,44.0,17485,7,2009,4,4,4,1508.0,5,1508,1,4,5,2,572.0,308030,0,0,0,1,0,1,1,1,0,1,0
1564,69.05520046484602,23730,7,1996,4,5,2,1840.0,5,2032,3,4,7,0,786.0,300000,0,0,0,1,0,1,1,1,0,0,1
2613,79.0,8910,6,1959,3,3,2,655.0,5,1194,1,3,6,1,539.0,159500,0,0,0,0,1,0,0,1,0,0,0
2832,24.0,2522,7,2004,4,4,1,970.0,5,1709,2,4,7,0,380.0,137500,0,0,0,0,0,0,1,0,1,1,0
2459,73.0,8688,7,2005,4,4,3,1616.0,5,1616,2,4,7,0,834.0,232000,0,0,0,0,0,1,1,1,0,0,1
1360,69.05520046484602,6291,6,1930,4,3,1,768.0,3,768,1,3,4,0,440.0,93850,0,0,0,0,0,0,0,1,0,0,0
2723,69.05520046484602,17529,5,1924,3,3,1,872.0,2,872,1,2,5,1,322.0,105000,0,0,0,0,0,0,0,1,0,1,0
1350,60.0,6324,4,1927,3,3,1,520.0,2,520,1,2,4,0,240.0,68500,0,0,0,0,0,0,0,1,0,0,0
136,80.0,11600,5,1960,3,3,1,1105.0,3,2274,2,3,12,0,480.0,154300,0,0,0,0,0,0,0,0,1,0,1
2235,50.0,7288,5,1925,4,3,1,936.0,5,1601,2,3,6,0,0.0,129850,0,0,0,0,0,0,0,0,0,0,0
1993,35.0,4571,5,1910,3,3,1,616.0,5,1232,1,3,6,0,480.0,114000,0,0,0,0,0,0,0,0,1,0,0
367,63.0,17423,9,2008,5,5,1,2216.0,5,2234,2,5,9,1,1166.0,501837,1,0,0,1,0,1,1,1,0,1,0
1309,100.0,12665,5,1915,3,3,2,876.0,4,1416,1,3,7,1,720.0,153900,0,0,0,0,0,0,0,0,0,0,0
402,60.0,9000,4,1971,3,3,1,864.0,4,864,1,3,5,0,576.0,130000,0,0,0,0,0,0,0,1,0,0,0
1592,32.0,4500,6,1997,3,5,1,1189.0,5,1189,2,3,4,0,392.0,160500,0,0,0,1,0,1,1,1,0,0,1
2409,48.0,6373,9,2006,5,5,1,1666.0,5,1666,2,4,6,1,575.0,310090,0,1,0,1,0,1,1,1,0,0,1
539,67.0,10083,7,2003,4,4,1,1176.0,5,1200,2,4,5,0,555.0,184900,0,0,0,1,0,1,1,1,0,0,0
1940,70.0,13300,5,1956,3,4,1,928.0,3,928,1,3,4,0,252.0,132000,0,0,0,0,0,1,0,1,0,0,0
588,80.0,9600,5,1969,3,4,2,1288.0,3,1336,2,3,6,1,502.0,163000,0,0,0,0,0,1,0,1,0,0,1
96,30.0,3215,7,2004,4,4,3,600.0,5,1200,2,4,4,0,480.0,155000,0,0,0,1,0,0,1,0,1,0,1
1187,69.05520046484602,11104,6,1969,3,3,3,1427.0,4,1427,2,3,7,0,516.0,183000,0,0,0,1,0,1,0,0,0,0,0
2154,69.05520046484602,15295,7,1996,4,4,2,860.0,5,1992,2,4,7,2,608.0,211000,0,0,0,1,0,1,1,0,1,0,1
550,70.0,9109,7,1994,4,4,1,754.0,5,1540,2,4,6,0,495.0,184000,0,0,0,0,0,1,1,0,1,0,0
811,64.0,7018,5,1979,3,0,0,0.0,3,1535,2,3,8,0,400.0,118858,0,0,0,0,0,1,0,1,0,0,0
124,69.05520046484602,14112,5,1964,3,3,3,1152.0,3,1152,1,3,6,1,484.0,180500,0,0,0,1,0,1,1,0,0,0,1
1836,80.0,3523,8,2006,4,4,1,1141.0,5,1151,2,4,5,0,484.0,166000,0,0,0,1,0,1,1,1,0,1,0
779,88.0,15312,6,1960,3,3,3,1138.0,5,1138,1,3,6,1,480.0,148000,0,0,0,0,0,1,0,0,0,0,1
1886,74.0,7450,5,1956,3,3,1,894.0,4,1074,1,4,6,1,396.0,124000,0,0,0,0,0,0,0,1,0,0,0
1724,60.0,7313,9,2005,5,5,1,1561.0,5,1561,2,5,6,1,556.0,277500,0,1,0,1,0,1,1,1,0,0,1
2450,83.0,10019,8,1995,4,4,1,1342.0,5,2726,2,4,9,1,725.0,350000,0,0,1,0,0,1,1,0,1,0,1
1013,53.0,15401,9,2004,5,5,4,1884.0,5,1884,2,5,7,1,670.0,387000,1,0,0,1,0,1,1,1,0,0,1
2084,58.0,9098,4,1920,3,3,2,528.0,5,605,1,3,5,0,0.0,86000,0,0,0,0,0,0,0,1,0,0,0
1184,103.0,16280,8,1976,5,4,2,1426.0,5,1671,3,5,6,1,550.0,290000,0,0,0,1,0,1,0,1,0,0,0
728,72.0,9392,3,1900,3,2,1,245.0,3,797,1,3,5,0,0.0,44000,0,0,0,0,0,0,0,1,0,0,0
950,71.0,12209,6,2001,3,5,1,804.0,5,1961,2,4,7,1,560.0,215000,0,0,0,0,1,0,1,0,1,0,0
2524,79.0,13110,5,1972,3,4,1,1153.0,5,1193,2,3,6,0,501.0,146500,0,0,0,1,0,1,0,1,0,0,1
2513,69.05520046484602,2651,7,2000,4,4,1,673.0,5,1382,2,4,6,0,490.0,165000,0,0,0,1,0,0,1,0,1,0,0
2028,60.0,8520,6,1916,3,3,1,714.0,3,2526,2,4,10,1,216.0,136000,0,0,0,0,0,0,0,0,0,0,0
2309,69.05520046484602,39384,6,1957,3,4,4,1705.0,5,1390,1,5,4,2,550.0,252000,0,0,0,0,0,1,0,1,0,1,0
51,36.0,2628,7,2003,4,4,1,764.0,5,1626,2,4,6,0,474.0,175500,0,1,0,0,1,0,1,0,1,1,0
699,57.0,6406,5,1939,3,3,1,690.0,3,1558,1,3,7,1,400.0,150000,0,0,0,0,0,0,0,0,1,0,0
1881,69.05520046484602,12342,5,1960,3,3,1,978.0,3,1422,1,3,6,1,286.0,139900,0,0,0,0,0,1,0,1,0,0,0
1345,52.0,6240,5,1930,3,3,1,1078.0,3,1573,2,3,8,1,360.0,162900,0,0,0,0,0,0,1,0,0,0,0
166,87.0,10000,6,1962,3,3,1,1116.0,3,1116,1,3,5,0,440.0,160000,0,0,0,0,0,1,0,1,0,0,1
781,69.05520046484602,9000,2,1947,3,0,0,0.0,2,660,1,2,5,0,0.0,63900,0,0,0,0,0,0,0,1,0,0,0
379,80.0,11088,6,1978,3,3,1,1140.0,4,1707,2,3,7,1,479.0,184000,0,0,0,0,0,1,1,1,0,0,1
2818,134.0,17755,5,1959,3,3,1,1466.0,3,1466,1,2,6,2,528.0,149900,0,0,0,0,0,1,0,1,0,0,1
1168,69.05520046484602,4765,9,2000,4,4,3,1614.0,5,1638,2,5,5,1,495.0,300000,0,0,0,1,0,1,1,1,0,0,1
1396,69.05520046484602,10532,5,1960,3,3,2,988.0,4,1721,2,3,7,2,626.0,145000,0,0,0,0,0,0,0,1,0,1,0
838,65.0,15426,6,1997,3,4,1,928.0,5,1764,2,4,7,0,470.0,231500,0,0,0,1,0,1,1,0,1,0,0
1492,63.0,13907,5,1940,3,3,1,996.0,5,996,1,3,6,1,0.0,108000,0,0,0,0,0,0,0,1,0,0,0
637,70.0,8750,5,1956,3,3,1,1202.0,3,1202,1,3,6,0,304.0,120000,0,0,0,0,0,1,0,1,0,0,0
1826,69.05520046484602,9945,5,1961,3,3,1,988.0,3,988,1,3,5,0,572.0,128500,0,0,0,0,0,0,0,1,0,0,1
173,56.0,8960,5,1927,3,3,1,1008.0,4,1028,1,3,5,1,360.0,115000,0,0,0,0,0,0,0,1,0,0,0
715,50.0,3500,5,1947,3,3,1,720.0,3,1284,1,3,5,0,240.0,110000,0,0,0,0,0,0,0,0,0,0,0
1183,69.05520046484602,24572,9,1977,4,4,1,994.0,3,2944,2,4,9,1,864.0,150000,0,0,0,1,0,1,0,0,1,0,1
2433,74.0,9056,8,2004,4,5,3,707.0,5,1414,2,4,6,1,403.0,178000,0,0,0,0,0,1,1,0,1,0,0
2866,70.0,12320,7,1932,3,3,1,637.0,5,1609,1,4,8,2,579.0,199500,0,0,0,0,0,0,0,0,1,0,0
2311,60.0,8238,6,1997,3,3,1,813.0,5,1525,2,3,6,1,400.0,183500,0,0,0,1,0,1,1,0,1,0,0
1551,75.0,6000,5,1967,2,4,2,624.0,5,1656,1,3,7,1,288.0,126000,0,0,0,0,0,1,0,0,0,0,0
1049,24.0,2529,7,1977,3,4,1,1055.0,2,1055,2,3,4,0,440.0,148500,0,0,0,0,0,1,0,1,0,0,0
657,60.0,10800,5,1939,3,3,1,676.0,5,1352,2,4,7,0,720.0,149000,0,0,0,0,0,0,0,0,1,0,0
414,24.0,2349,6,1977,3,4,1,855.0,3,1456,2,3,6,1,440.0,137900,0,0,0,0,0,1,0,0,1,0,0
1181,32.0,10846,8,1993,4,4,4,1719.0,5,1719,1,4,6,2,473.0,324000,0,0,0,1,0,1,1,1,0,0,0
1514,67.0,5604,5,1925,3,3,1,864.0,3,864,1,3,5,0,0.0,98000,0,0,0,0,0,0,0,1,0,0,0
1040,21.0,1680,6,1973,3,3,1,483.0,3,987,1,3,5,0,264.0,103400,0,0,0,0,0,0,0,0,1,0,1
216,54.0,6342,5,1875,3,3,1,780.0,4,1020,1,3,6,0,0.0,94000,0,0,0,0,0,0,0,0,0,0,0
1720,34.0,4590,8,2006,4,4,2,1554.0,5,1554,2,4,6,1,627.0,209500,0,1,0,1,0,1,1,1,0,1,0
2331,60.0,18062,10,2006,5,5,4,1528.0,5,3390,3,5,10,1,758.0,545224,1,0,0,0,1,0,1,0,1,0,1
204,60.0,12900,6,1912,4,3,1,780.0,5,1560,1,4,7,0,0.0,159900,0,0,0,0,0,0,1,0,1,0,0
19,140.0,19138,4,1951,3,3,1,864.0,5,864,1,3,4,0,400.0,141000,0,0,0,0,0,0,0,1,0,0,0
2438,69.05520046484602,8658,6,2000,3,4,1,982.0,5,1889,2,3,9,1,431.0,215000,0,0,0,0,0,1,1,0,1,0,0
89,69.05520046484602,6897,5,1962,3,3,1,1040.0,5,1040,1,3,6,0,260.0,127000,0,0,0,0,0,0,0,1,0,0,0
240,75.0,9525,5,1954,3,3,3,1172.0,3,1172,1,3,5,0,366.0,128000,0,0,0,0,0,1,0,1,0,0,0
105,57.0,12853,8,2010,4,5,1,1642.0,5,1418,1,4,6,1,852.0,267916,0,0,0,1,0,1,1,1,0,0,0
2020,52.0,6240,6,1931,3,3,1,884.0,3,1367,1,3,6,1,560.0,127500,0,0,0,0,0,0,0,0,0,0,0
888,64.0,7301,7,2003,4,0,0,0.0,5,1922,3,4,7,1,672.0,198500,0,0,0,0,1,0,0,0,0,0,1
1019,78.0,12090,6,1981,3,4,1,1422.0,3,1422,2,4,7,1,576.0,175500,0,0,0,1,0,1,0,1,0,0,1
2132,69.05520046484602,8826,7,2000,4,4,1,985.0,5,1842,2,4,7,1,486.0,217500,0,0,0,1,0,1,1,0,1,0,1
203,57.0,8094,4,1915,3,3,1,888.0,5,1962,1,3,9,1,572.0,149500,0,0,0,0,0,0,0,0,0,0,0
420,69.05520046484602,10710,5,1966,4,3,1,864.0,5,1120,1,3,5,1,656.0,148800,0,0,0,0,0,1,1,1,0,0,1
2333,85.0,16056,9,2005,4,5,3,1992.0,5,2868,3,5,11,1,716.0,556581,1,0,0,1,1,0,1,0,1,1,0
632,70.0,8400,6,1957,3,3,1,1478.0,4,1478,1,3,6,2,442.0,156500,0,0,0,0,0,1,0,1,0,0,0
2800,90.0,11250,7,1995,4,4,3,930.0,5,1995,2,4,8,1,610.0,237000,0,0,0,1,0,1,1,0,1,0,0
1885,70.0,7535,5,1958,3,3,1,912.0,2,912,1,3,5,0,297.0,120000,0,0,0,0,0,1,0,1,0,0,0
1734,88.0,12216,6,2005,3,4,3,1326.0,5,1326,2,4,6,0,388.0,203000,0,0,0,1,0,1,1,1,0,0,0
2327,30.0,3701,8,1987,3,4,1,1191.0,3,1204,2,3,5,0,461.0,130000,1,0,0,0,0,1,0,1,0,0,0
1282,80.0,9760,6,1964,3,3,4,780.0,3,1611,1,3,7,0,442.0,167900,0,0,0,1,0,1,0,0,1,0,1
2688,60.0,9873,4,1970,3,3,3,960.0,3,960,1,3,6,0,576.0,129000,0,0,0,0,0,0,0,1,0,0,1
2581,72.0,10011,5,1957,3,3,1,1070.0,3,1236,1,4,6,1,447.0,134450,0,0,0,0,0,1,0,1,0,0,1
2067,69.05520046484602,25339,5,1918,3,3,1,816.0,5,1416,2,4,7,0,576.0,112000,0,0,0,0,0,1,0,1,0,0,0
2115,69.05520046484602,8883,7,1988,4,4,1,929.0,5,1873,2,4,7,1,619.0,207000,0,0,0,1,0,1,1,0,1,0,1
754,50.0,3000,5,1922,3,3,1,1040.0,3,2128,2,3,11,0,0.0,62500,0,0,0,0,0,0,0,0,1,0,0
1079,36.0,2448,7,2003,4,4,1,764.0,5,1626,2,4,6,0,474.0,154000,0,1,0,1,1,0,1,0,1,1,0
2615,73.0,7100,5,1957,3,3,1,816.0,3,816,1,3,5,0,308.0,129900,0,0,0,1,0,0,0,1,0,0,0
329,36.0,2592,5,1976,3,4,1,536.0,3,1112,1,3,4,0,336.0,85000,0,0,0,0,0,1,0,0,1,0,0
1320,69.05520046484602,5700,7,1926,3,3,1,572.0,3,1111,1,3,5,1,288.0,116900,0,0,0,0,0,0,1,0,0,0,0
416,24.0,2289,6,1978,3,3,1,855.0,3,1441,2,3,7,1,440.0,148500,0,0,0,0,0,1,0,0,1,0,0
284,60.0,12180,4,1941,3,4,1,672.0,2,924,1,2,5,0,280.0,80000,0,0,0,0,0,0,0,0,0,0,0
1385,69.05520046484602,7400,5,1984,3,4,3,1060.0,3,1126,1,3,5,0,506.0,152000,0,0,0,0,0,1,1,0,0,0,0
275,68.0,8842,5,1954,3,2,1,381.0,5,992,1,3,6,0,319.0,155891,0,0,0,0,0,0,0,1,0,0,0
2024,60.0,8850,6,1920,3,3,1,768.0,5,1376,1,4,7,0,576.0,165000,0,0,0,0,0,0,1,0,0,0,0
68,92.0,9215,7,2009,4,4,1,1218.0,5,1218,2,4,4,0,676.0,204500,0,0,0,0,0,1,1,1,0,0,0
1910,79.0,9480,5,1942,3,3,1,728.0,5,1644,1,4,7,2,312.0,146500,0,0,0,0,0,1,0,0,1,1,0
381,82.0,11880,7,1978,3,4,1,1271.0,3,1601,2,3,7,1,478.0,157000,0,0,0,0,0,1,0,1,0,0,1
1323,60.0,10800,7,1890,3,3,2,1313.0,4,2495,2,3,10,1,342.0,184000,0,0,0,0,0,0,0,0,1,0,0
2432,69.05520046484602,7861,6,2002,4,4,1,783.0,5,1509,2,4,7,1,393.0,183200,0,0,0,1,0,1,1,0,1,0,0
777,69.05520046484602,11616,5,1962,3,3,1,1092.0,3,1092,1,3,6,1,288.0,139000,0,0,0,0,0,1,0,1,0,0,1
1107,96.0,10542,7,1993,4,4,4,1311.0,5,2418,2,4,9,1,983.0,341000,0,0,1,1,0,1,1,0,1,0,1
30,21.0,1680,6,1971,3,3,1,483.0,3,987,1,3,5,0,264.0,96000,0,0,0,0,0,0,0,0,1,0,1
282,80.0,8546,4,2003,3,4,1,1121.0,5,1121,2,3,5,0,440.0,140000,0,0,0,0,0,1,1,1,0,0,0
188,90.0,7407,6,1957,3,3,1,912.0,3,1236,1,3,6,0,923.0,149700,0,0,0,1,0,1,0,1,0,0,0
2356,78.0,10140,5,1975,3,4,1,1056.0,5,1074,1,3,6,0,495.0,153500,0,0,0,0,0,1,0,1,0,0,0
1554,80.0,14584,1,1952,2,0,0,0.0,1,733,1,2,4,0,487.0,13100,0,0,0,0,0,1,0,1,0,0,0
1464,65.0,8158,7,2003,4,4,1,884.0,5,1768,2,4,8,0,543.0,224900,0,0,0,1,0,1,1,0,1,0,1
2469,62.0,7500,7,2005,4,4,1,1257.0,5,1266,2,4,6,1,453.0,176000,0,0,0,0,0,1,1,1,0,0,0
1834,85.0,10678,8,1992,4,4,1,1683.0,5,2872,2,4,9,1,541.0,285000,0,0,1,1,0,1,1,0,0,0,1
1779,49.0,15256,8,2007,4,4,4,1485.0,5,1464,2,4,6,0,754.0,282922,0,0,0,1,0,1,1,1,0,1,0
2569,88.0,14200,7,1966,3,3,1,924.0,5,2157,2,4,8,2,487.0,226000,0,0,0,0,0,1,0,0,1,0,1
2334,82.0,12438,8,2006,5,5,1,1234.0,5,2576,2,5,10,1,666.0,361919,1,0,0,0,1,0,1,0,1,0,1
2330,59.0,16023,9,2005,4,5,4,1398.0,5,2798,3,5,11,1,670.0,457347,1,0,0,1,1,0,1,0,1,0,1
2119,155.0,20064,8,1976,4,4,4,966.0,5,1743,0,4,5,2,529.0,279000,0,0,0,0,0,1,0,1,0,0,0
988,69.05520046484602,9819,6,1977,3,3,4,1567.0,3,1567,2,4,5,2,714.0,196000,0,0,0,0,0,1,1,1,0,0,0
382,80.0,10400,7,1976,3,4,1,1090.0,3,1370,2,3,6,1,479.0,152000,0,0,0,0,0,1,0,1,0,0,1
670,91.0,11643,5,1969,3,3,1,1248.0,3,2634,2,3,12,0,968.0,200000,0,0,0,0,0,0,0,0,1,0,1
2760,78.0,11645,8,2005,4,5,4,1570.0,5,1590,2,5,6,0,754.0,294900,0,0,0,1,0,1,1,1,0,0,1
543,61.0,7328,7,2008,4,4,1,1450.0,5,1450,2,4,6,0,788.0,224243,0,0,0,0,0,1,1,1,0,0,1
2835,72.0,7822,6,1915,3,2,1,832.0,3,1338,2,3,7,0,528.0,92000,0,0,0,0,0,0,0,0,0,0,0
1735,65.0,9018,7,2007,4,4,3,728.0,5,1456,2,4,8,1,400.0,179540,0,0,0,0,0,1,1,0,1,0,0
448,103.0,13472,10,2003,5,5,4,2392.0,5,2392,2,5,8,1,968.0,386250,0,1,0,1,0,1,1,1,0,0,1
2287,69.05520046484602,1533,4,1970,3,4,3,530.0,3,992,1,3,4,0,297.0,106500,0,0,0,1,1,0,0,0,0,0,0
